ProductKey,Order ID,OrderDateKey,DueDateKey,ShipDateKey,CustomerKey,Sales
381,SO46700,20220101,20220113,20220108,16942,1000.4375
375,SO46701,20220101,20220113,20220108,15114,2181.5625
369,SO46702,20220101,20220113,20220108,15116,2443.35
337,SO46703,20220101,20220113,20220108,20576,782.99
370,SO46704,20220101,20220113,20220108,13059,2443.35
370,SO46705,20220101,20220113,20220108,13085,2443.35
352,SO46706,20220101,20220113,20220108,20186,2071.4196
337,SO46707,20220101,20220113,20220108,15199,782.99
377,SO46708,20220101,20220113,20220108,21200,2181.5625
387,SO46709,20220102,20220114,20220109,19172,1000.4375
356,SO46710,20220102,20220114,20220109,11484,2071.4196
369,SO46711,20220102,20220114,20220109,13592,2443.35
373,SO46712,20220102,20220114,20220109,13779,2181.5625
371,SO46713,20220102,20220114,20220109,24778,2181.5625
368,SO46714,20220102,20220114,20220109,13093,2443.35
375,SO46715,20220102,20220114,20220109,24976,2181.5625
375,SO46716,20220102,20220114,20220109,25046,2181.5625
368,SO46717,20220102,20220114,20220109,25048,2443.35
360,SO46718,20220102,20220114,20220109,12570,2049.0982
362,SO46719,20220103,20220115,20220110,11604,2049.0982
371,SO46720,20220103,20220115,20220110,13667,2181.5625
370,SO46721,20220103,20220115,20220110,16046,2443.35
385,SO46722,20220103,20220115,20220110,17095,1000.4375
368,SO46723,20220103,20220115,20220110,12918,2443.35
368,SO46724,20220103,20220115,20220110,28663,2443.35
369,SO46725,20220103,20220115,20220110,21191,2443.35
373,SO46726,20220103,20220115,20220110,20999,2181.5625
370,SO46727,20220103,20220115,20220110,21002,2443.35
358,SO46728,20220103,20220115,20220110,12354,2049.0982
321,SO46729,20220103,20220115,20220110,26019,782.99
379,SO46730,20220104,20220116,20220111,15100,2181.5625
371,SO46731,20220104,20220116,20220111,15101,2181.5625
385,SO46732,20220104,20220116,20220111,13992,1000.4375
375,SO46733,20220104,20220116,20220111,24781,2181.5625
375,SO46734,20220104,20220116,20220111,13060,2181.5625
371,SO46735,20220104,20220116,20220111,13226,2181.5625
360,SO46736,20220104,20220116,20220111,12341,2049.0982
354,SO46737,20220104,20220116,20220111,12346,2071.4196
362,SO46738,20220104,20220116,20220111,12576,2049.0982
373,SO46739,20220105,20220117,20220112,15699,2181.5625
379,SO46740,20220105,20220117,20220112,12980,2181.5625
370,SO46741,20220105,20220117,20220112,28766,2443.35
358,SO46742,20220105,20220117,20220112,20206,2049.0982
373,SO46743,20220105,20220117,20220112,21183,2181.5625
370,SO46744,20220105,20220117,20220112,21199,2443.35
369,SO46745,20220106,20220118,20220113,13056,2443.35
368,SO46746,20220106,20220118,20220113,13057,2443.35
360,SO46747,20220106,20220118,20220113,26127,2049.0982
360,SO46748,20220106,20220118,20220113,26252,2049.0982
354,SO46749,20220106,20220118,20220113,12350,2071.4196
377,SO46750,20220107,20220119,20220114,16054,2181.5625
377,SO46751,20220107,20220119,20220114,12934,2181.5625
343,SO46752,20220107,20220119,20220114,19931,782.99
379,SO46753,20220107,20220119,20220114,21215,2181.5625
321,SO46754,20220107,20220119,20220114,25958,782.99
343,SO46755,20220107,20220119,20220114,26023,782.99
383,SO46756,20220107,20220119,20220114,13993,1000.4375
354,SO46757,20220108,20220120,20220115,26174,2071.4196
387,SO46758,20220108,20220120,20220115,18130,1000.4375
373,SO46759,20220108,20220120,20220115,16033,2181.5625
387,SO46760,20220108,20220120,20220115,13986,1000.4375
325,SO46761,20220108,20220120,20220115,19924,782.99
368,SO46762,20220108,20220120,20220115,13063,2443.35
375,SO46763,20220108,20220120,20220115,13202,2181.5625
360,SO46764,20220108,20220120,20220115,26238,2049.0982
333,SO46765,20220108,20220120,20220115,15191,782.99
369,SO46766,20220108,20220120,20220115,21216,2443.35
362,SO46767,20220108,20220120,20220115,12573,2049.0982
339,SO46768,20220108,20220120,20220115,26020,782.99
377,SO46769,20220109,20220121,20220116,15702,2181.5625
370,SO46770,20220109,20220121,20220116,15357,2443.35
377,SO46771,20220109,20220121,20220116,13068,2181.5625
375,SO46772,20220109,20220121,20220116,13161,2181.5625
371,SO46773,20220109,20220121,20220116,13173,2181.5625
375,SO46774,20220109,20220121,20220116,13225,2181.5625
352,SO46775,20220109,20220121,20220116,26249,2071.4196
360,SO46776,20220109,20220121,20220116,12356,2049.0982
356,SO46777,20220110,20220122,20220117,11568,2071.4196
352,SO46778,20220110,20220122,20220117,11610,2071.4196
377,SO46779,20220110,20220122,20220117,15929,2181.5625
379,SO46780,20220110,20220122,20220117,12942,2181.5625
379,SO46781,20220110,20220122,20220117,12949,2181.5625
371,SO46782,20220110,20220122,20220117,12975,2181.5625
337,SO46783,20220110,20220122,20220117,19069,782.99
375,SO46784,20220110,20220122,20220117,13178,2181.5625
373,SO46785,20220110,20220122,20220117,13190,2181.5625
354,SO46786,20220110,20220122,20220117,26201,2071.4196
333,SO46787,20220110,20220122,20220117,15195,782.99
358,SO46788,20220110,20220122,20220117,12342,2049.0982
358,SO46789,20220111,20220123,20220118,28506,2049.0982
379,SO46790,20220111,20220123,20220118,12930,2181.5625
369,SO46791,20220111,20220123,20220118,13016,2443.35
373,SO46792,20220111,20220123,20220118,13083,2181.5625
375,SO46793,20220111,20220123,20220118,13214,2181.5625
373,SO46794,20220111,20220123,20220118,24977,2181.5625
362,SO46795,20220111,20220123,20220118,26234,2049.0982
360,SO46796,20220111,20220123,20220118,26247,2049.0982
371,SO46797,20220111,20220123,20220118,21197,2181.5625
368,SO46798,20220111,20220123,20220118,21201,2443.35
371,SO46799,20220112,20220124,20220119,13662,2181.5625
370,SO46800,20220112,20220124,20220119,13019,2443.35
368,SO46801,20220112,20220124,20220119,25094,2443.35
337,SO46802,20220112,20220124,20220119,15188,782.99
379,SO46803,20220113,20220125,20220120,13595,2181.5625
323,SO46804,20220113,20220125,20220120,19052,782.99
373,SO46805,20220113,20220125,20220120,13055,2181.5625
370,SO46806,20220113,20220125,20220120,21195,2443.35
354,SO46807,20220113,20220125,20220120,12339,2071.4196
360,SO46808,20220113,20220125,20220120,12347,2049.0982
371,SO46809,20220114,20220126,20220121,13766,2181.5625
370,SO46810,20220114,20220126,20220121,15622,2443.35
369,SO46811,20220114,20220126,20220121,12941,2443.35
371,SO46812,20220114,20220126,20220121,13069,2181.5625
379,SO46813,20220114,20220126,20220121,13152,2181.5625
371,SO46814,20220114,20220126,20220121,13165,2181.5625
375,SO46815,20220114,20220126,20220121,25093,2181.5625
370,SO46816,20220114,20220126,20220121,13230,2443.35
356,SO46817,20220114,20220126,20220121,26121,2071.4196
369,SO46818,20220114,20220126,20220121,21211,2443.35
368,SO46819,20220114,20220126,20220121,21001,2443.35
352,SO46820,20220115,20220127,20220122,28510,2071.4196
377,SO46821,20220115,20220127,20220122,24824,2181.5625
325,SO46822,20220115,20220127,20220122,15155,782.99
323,SO46823,20220115,20220127,20220122,15193,782.99
385,SO46824,20220115,20220127,20220122,24608,1000.4375
354,SO46825,20220115,20220127,20220122,12574,2071.4196
360,SO46826,20220115,20220127,20220122,12575,2049.0982
373,SO46827,20220116,20220128,20220123,13799,2181.5625
385,SO46828,20220116,20220128,20220123,13990,1000.4375
369,SO46829,20220116,20220128,20220123,24786,2443.35
337,SO46830,20220116,20220128,20220123,19910,782.99
369,SO46831,20220116,20220128,20220123,13066,2443.35
352,SO46832,20220116,20220128,20220123,20188,2071.4196
354,SO46833,20220116,20220128,20220123,12360,2071.4196
379,SO46834,20220116,20220128,20220123,12923,2181.5625
371,SO46835,20220117,20220129,20220124,13768,2181.5625
377,SO46836,20220117,20220129,20220124,13769,2181.5625
381,SO46837,20220117,20220129,20220124,14003,1000.4375
375,SO46838,20220117,20220129,20220124,12922,2181.5625
375,SO46839,20220117,20220129,20220124,24817,2181.5625
369,SO46840,20220117,20220129,20220124,13058,2443.35
371,SO46841,20220117,20220129,20220124,13174,2181.5625
321,SO46842,20220117,20220129,20220124,15166,782.99
375,SO46843,20220117,20220129,20220124,21168,2181.5625
358,SO46844,20220117,20220129,20220124,12343,2049.0982
358,SO46845,20220118,20220130,20220125,11603,2049.0982
373,SO46846,20220118,20220130,20220125,13575,2181.5625
371,SO46847,20220118,20220130,20220125,13793,2181.5625
371,SO46848,20220118,20220130,20220125,16201,2181.5625
370,SO46849,20220118,20220130,20220125,24960,2443.35
370,SO46850,20220118,20220130,20220125,13221,2443.35
360,SO46851,20220118,20220130,20220125,20209,2049.0982
333,SO46852,20220118,20220130,20220125,15194,782.99
368,SO46853,20220118,20220130,20220125,21192,2443.35
375,SO46854,20220118,20220130,20220125,20997,2181.5625
379,SO46855,20220119,20220131,20220126,15117,2181.5625
370,SO46856,20220119,20220131,20220126,12935,2443.35
371,SO46857,20220119,20220131,20220126,13064,2181.5625
370,SO46858,20220119,20220131,20220126,13067,2443.35
370,SO46859,20220119,20220131,20220126,13205,2443.35
371,SO46860,20220119,20220131,20220126,21180,2181.5625
377,SO46861,20220119,20220131,20220126,21214,2181.5625
362,SO46862,20220120,20220201,20220127,11550,2049.0982
362,SO46863,20220120,20220201,20220127,11575,2049.0982
373,SO46864,20220120,20220201,20220127,16045,2181.5625
375,SO46865,20220120,20220201,20220127,15456,2181.5625
369,SO46866,20220120,20220201,20220127,12981,2443.35
377,SO46867,20220120,20220201,20220127,13029,2181.5625
369,SO46868,20220120,20220201,20220127,13189,2443.35
379,SO46869,20220121,20220202,20220128,13577,2181.5625
368,SO46870,20220121,20220202,20220128,13605,2443.35
370,SO46871,20220121,20220202,20220128,13800,2443.35
385,SO46872,20220121,20220202,20220128,19186,1000.4375
377,SO46873,20220121,20220202,20220128,21167,2181.5625
381,SO46874,20220121,20220202,20220128,24606,1000.4375
362,SO46875,20220122,20220203,20220129,11470,2049.0982
375,SO46876,20220122,20220203,20220129,15084,2181.5625
370,SO46877,20220122,20220203,20220129,12926,2443.35
369,SO46878,20220122,20220203,20220129,25061,2443.35
379,SO46879,20220122,20220203,20220129,13224,2181.5625
335,SO46880,20220122,20220203,20220129,15167,782.99
354,SO46881,20220122,20220203,20220129,12572,2071.4196
343,SO46882,20220122,20220203,20220129,25960,782.99
352,SO46883,20220122,20220203,20220129,26241,2071.4196
368,SO46884,20220123,20220204,20220130,13565,2443.35
373,SO46885,20220123,20220204,20220130,15933,2181.5625
377,SO46886,20220123,20220204,20220130,28669,2181.5625
362,SO46887,20220123,20220204,20220130,12340,2049.0982
325,SO46888,20220123,20220204,20220130,26021,782.99
383,SO46889,20220124,20220205,20220131,19173,1000.4375
368,SO46890,20220124,20220205,20220131,12921,2443.35
325,SO46891,20220124,20220205,20220131,20592,782.99
370,SO46892,20220124,20220205,20220131,13086,2443.35
369,SO46893,20220124,20220205,20220131,28659,2443.35
356,SO46894,20220124,20220205,20220131,26120,2071.4196
354,SO46895,20220124,20220205,20220131,26183,2071.4196
333,SO46896,20220124,20220205,20220131,15189,782.99
